Customer you are requesting does not exist.,O cliente que você está solicitando não existe.
Product unavailable in selected region.,Produto indisponível na região selecionada.
Invalid Request,Pedido Inválido
"As customer you are requesting does not exist, so you need to logout.","Como o cliente que você está solicitando não existe, é necessário fazer logout."
Featured Products,Produtos em Destaque
New Products,Novos Produtos
Hot Deals,Ofertas Quentes
"Customer you are requesting does not exist, so you need to logout.","O cliente que você está solicitando não existe, então você precisa sair."
Address not set properly. Please select your address again.,"Endereço não definido corretamente. Por favor, selecione seu endereço novamente."
Address Set,Conjunto de Endereços
Fill Correct Address,Preencher Endereço Correto
Please select your address.,"Por favor, selecione seu endereço"
Shipping address is not same as address selected.,"Este endereço de entrega está fora do raio de atendimento da loja, por favor verifique se o endereço informado está correto."
Shipping Address is outside delivery area of seller.,O endereço de entrega está fora da área de entrega do vendedor.
Sorry Something went wrong !!,Desculpe Algo deu errado !!
Customer Address is not valid.,O endereço do cliente não é válido.
Invalid email format,Formato de email inválido
Email already exist,Email já existe
This email already exist.,Este email já existe.
Invalid Billing data.,Dados de cobrança inválidos.
Invalid Shipping data.,Dados de envio inválidos.
You will be redirected to the PayPal website.,Você será redirecionado para o site do PayPal.
Make Check payable to:,Faça o conta ser pago para:
Send Check to:,Enviar conta para:
 xxxxxxx, xxxxxxx
Bank Details are xxxxxxx,Os detalhes do Banco são xxxxxxx
Pay at the time of delivery,Pagar no momento da entrega
Please set an address.,"Por favor, defina um endereço."
Seller do not provide shipping at your location.,O vendedor não fornece remessa no seu local.
%1 Products,%1 Produtos
Invalid Seller,Vendedor inválido
Ship area deleted successfully.,Área de envio excluída com sucesso.
Invalid request.,Pedido inválido.
Ship rate deleted successfully.,Taxa de envio excluída com sucesso.
Invalid seller,Vendedor inválido
Your shipping origin has been successfully saved.,Sua origem de remessa foi salva com sucesso.
Ship area saved successfully.,Área de envio salva com sucesso.
Ship area already exist.,A área do navio já existe.
Your shipping rate has been successfully updated,Sua taxa de envio foi atualizada com sucesso
Please upload Csv file,Faça o upload do arquivo CSV
